id,industry,page_type,component_type,position,section_archetype,section_variant,content_direction,priority
1,artisan-food,homepage,page_section,1,HERO,full-bleed-overlay,Heritage/origin story hero with product imagery,required
2,artisan-food,homepage,page_section,2,LOGO-BAR,scrolling-marquee,"Press mentions, certifications (organic, fair trade)",recommended
3,artisan-food,homepage,page_section,3,ABOUT,editorial-split,"Founder story, craft process, heritage",required
4,artisan-food,homepage,page_section,4,PRODUCT-SHOWCASE,hover-cards,Featured collections (3-4 categories),required
5,artisan-food,homepage,page_section,5,HOW-IT-WORKS,horizontal-timeline,From source to cup/plate journey,recommended
6,artisan-food,homepage,page_section,6,TESTIMONIALS,single-featured,Customer story with product photo,required
7,artisan-food,homepage,page_section,7,GALLERY,masonry,Lifestyle/product photography,optional
8,artisan-food,homepage,page_section,8,NEWSLETTER,inline,Subscribe for recipes/tips + discount,recommended
9,artisan-food,product-detail,page_section,1,PRODUCT-DETAIL,gallery-sidebar,Product images + origin badge overlay,required
10,artisan-food,product-detail,page_section,2,PRODUCT-DETAIL,description-tabs,"Description, tasting notes, brewing guide",required
11,artisan-food,product-detail,page_section,3,PRODUCT-DETAIL,subscription-upsell,Subscribe & save toggle,recommended
12,artisan-food,product-detail,page_section,4,PRODUCT-SHOWCASE,related-products,Same origin / complementary products,required
13,artisan-food,product-detail,page_section,5,TESTIMONIALS,mini-reviews,3 inline customer reviews,recommended
14,artisan-food,collection,page_section,1,HERO,page-header,Collection title + description + optional banner,required
15,artisan-food,collection,page_section,2,PRODUCT-SHOWCASE,filtered-grid,Product grid with sort/filter,required
16,artisan-food,collection,page_section,3,ABOUT,inline-blurb,"Category story (origin, process)",recommended
17,artisan-food,collection,page_section,4,PRODUCT-SHOWCASE,featured-3,Featured/signature products,optional
18,artisan-food,collection,page_section,5,CTA,inline,Back to all collections,optional
19,artisan-food,content-page,page_section,1,HERO,page-header,Page title + optional subtitle,required
20,artisan-food,content-page,page_section,2,CONTENT,rich-text,HTML content body,required
21,artisan-food,content-page,page_section,3,CTA,inline,Related page or action CTA,optional
22,artisan-food,about,page_section,1,HERO,page-header,Company name + tagline,required
