industry,page_type,position,component_type,section_archetype,section_variant,priority,content_direction,template_path
artisan-food,about,1,page_section,HERO,page-header,required,Company name + tagline,
artisan-food,about,2,page_section,ABOUT,editorial-split,required,Founder / origin story,
artisan-food,about,3,page_section,HOW-IT-WORKS,horizontal-timeline,recommended,Heritage timeline,
artisan-food,about,4,page_section,GALLERY,masonry,required,Process / team / facility photography,
artisan-food,about,5,page_section,STATS,counter,recommended,"Years, products, customers served",
artisan-food,about,6,page_section,TEAM,grid,optional,Key team members,
artisan-food,about,7,page_section,TESTIMONIALS,single-featured,optional,Community/partner quote,
artisan-food,about,8,page_section,CTA,centered,required,Shop our products,
artisan-food,blog-index,1,page_section,HERO,page-header,required,Blog title + optional category filter,
artisan-food,blog-index,2,page_section,BLOG-PREVIEW,grid,required,Blog post grid with featured post,
artisan-food,blog-index,3,page_section,NEWSLETTER,inline,optional,Subscribe for updates,
artisan-food,collection,1,page_section,HERO,page-header,required,Collection title + description + optional banner,
artisan-food,collection,2,page_section,PRODUCT-SHOWCASE,filtered-grid,required,Product grid with sort/filter,
artisan-food,collection,3,page_section,ABOUT,inline-blurb,recommended,"Category story (origin, process)",
artisan-food,collection,4,page_section,PRODUCT-SHOWCASE,featured-3,optional,Featured/signature products,
artisan-food,collection,5,page_section,CTA,inline,optional,Back to all collections,
artisan-food,contact,1,page_section,HERO,page-header,required,Contact us + subtitle,
artisan-food,contact,2,page_section,CONTACT,split-form,required,Form + location/map/hours,
artisan-food,contact,3,page_section,FAQ,mini-accordion,optional,Common questions before contacting,
artisan-food,content-page,1,page_section,HERO,page-header,required,Page title + optional subtitle,
artisan-food,content-page,2,page_section,CONTENT,rich-text,required,HTML content body,
artisan-food,content-page,3,page_section,CTA,inline,optional,Related page or action CTA,
artisan-food,homepage,1,page_section,HERO,full-bleed-overlay,required,Heritage/origin story hero with product imagery,
artisan-food,homepage,2,page_section,PRODUCT-SHOWCASE,hover-cards,required,Featured collections (3-4 categories),
artisan-food,homepage,3,page_section,ABOUT,editorial-split,required,"Founder story, craft process, heritage",
artisan-food,homepage,4,page_section,PRODUCT-SHOWCASE,carousel,required,,
artisan-food,homepage,5,page_section,HOW-IT-WORKS,horizontal-timeline,recommended,From source to cup/plate journey,
artisan-food,homepage,6,page_section,LOGO-BAR,scrolling-marquee,recommended,"Press mentions, certifications (organic, fair trade)",
artisan-food,homepage,7,page_section,TESTIMONIALS,single-featured,required,Customer story with product photo,
artisan-food,homepage,8,page_section,CTA,centered,required,,
artisan-food,homepage,9,page_section,GALLERY,masonry,optional,Lifestyle/product photography,
artisan-food,homepage,10,page_section,NEWSLETTER,inline,recommended,Subscribe for recipes/tips + discount,
artisan-food,product-detail,1,page_section,PRODUCT-DETAIL,gallery-sidebar,required,Product images + origin badge overlay,
artisan-food,product-detail,2,page_section,PRODUCT-DETAIL,description-tabs,required,"Description, tasting notes, brewing guide",
artisan-food,product-detail,3,page_section,PRODUCT-DETAIL,subscription-upsell,recommended,Subscribe & save toggle,
artisan-food,product-detail,4,page_section,PRODUCT-SHOWCASE,related-products,required,Same origin / complementary products,
artisan-food,product-detail,5,page_section,TESTIMONIALS,mini-reviews,recommended,3 inline customer reviews,
artisan-food,shared,0,cart_drawer,CART-DRAWER,slide-out,required,Side panel with upsell recommendations,
artisan-food,shared,0,footer,FOOTER,minimal,required,"Logo, links, newsletter, certifications",
artisan-food,shared,0,navigation,NAV,sticky-transparent,required,Minimal with dropdown categories,
automotive,about,1,page_section,HERO,page-header,required,Company name + tagline,
automotive,about,2,page_section,ABOUT,editorial-split,required,Company story,
automotive,about,3,page_section,TEAM,grid,optional,Team members,
automotive,about,4,page_section,STATS,counter,recommended,Key metrics,
automotive,about,5,page_section,CTA,centered,required,Get started / contact,
automotive,blog-index,1,page_section,HERO,page-header,required,Blog title + optional category filter,
automotive,blog-index,2,page_section,BLOG-PREVIEW,grid,required,Blog post grid with featured post,
automotive,blog-index,3,page_section,NEWSLETTER,inline,optional,Subscribe for updates,
automotive,collection,1,page_section,HERO,page-header,required,Collection title + description + optional banner,
automotive,collection,2,page_section,PRODUCT-SHOWCASE,filtered-grid,required,Product grid with sort/filter,
automotive,collection,3,page_section,PRODUCT-SHOWCASE,featured-3,optional,Featured products from collection,
automotive,contact,1,page_section,HERO,page-header,required,Contact us + subtitle,
automotive,contact,2,page_section,CONTACT,split-form,required,Form + location/map/hours,
automotive,contact,3,page_section,FAQ,mini-accordion,optional,Common questions before contacting,
automotive,content-page,1,page_section,HERO,page-header,required,Page title + optional subtitle,
automotive,content-page,2,page_section,CONTENT,rich-text,required,HTML content body,
automotive,content-page,3,page_section,CTA,inline,optional,Related page or action CTA,
automotive,homepage,1,page_section,HERO,video-background,required,Vehicle hero with cinematic footage,
automotive,homepage,2,page_section,PRODUCT-SHOWCASE,hover-cards,required,Vehicle lineup / categories,
automotive,homepage,3,page_section,FEATURES,icon-grid,required,"Performance specs, safety features",
automotive,homepage,4,page_section,CTA,centered,required,Book test drive / configure,
automotive,homepage,5,page_section,TESTIMONIALS,carousel,recommended,Owner reviews,
automotive,homepage,6,section,TRUST-BADGES,horizontal-strip,required,"Display manufacturer certifications, dealer awards, warranty badges, and financing partner logos.",
automotive,homepage,7,page_section,GALLERY,masonry,required,Interior + exterior + action shots,
automotive,homepage,8,section,FAQ,accordion,recommended,"Cover financing, trade-ins, test drives, warranty, and delivery. Address top purchase objections.",
automotive,homepage,9,page_section,CONTACT,split-form,required,,
automotive,product-detail,1,page_section,PRODUCT-DETAIL,gallery-sidebar,required,"Image gallery left, buy box right",
automotive,product-detail,2,page_section,PRODUCT-DETAIL,description-tabs,required,"Description, specs, reviews in tabs",
automotive,product-detail,3,page_section,PRODUCT-SHOWCASE,related-products,required,4 related products carousel,
automotive,shared,0,cart_drawer,CART-DRAWER,slide-out,required,Side panel with upsell recommendations,
automotive,shared,0,footer,FOOTER,mega,required,Multi-column standard footer,
automotive,shared,0,navigation,NAV,sticky-transparent,required,Standard dropdown navigation,
beauty-cosmetics,about,1,page_section,HERO,page-header,required,Company name + tagline,
beauty-cosmetics,about,2,page_section,ABOUT,editorial-split,required,Company story,
beauty-cosmetics,about,3,page_section,TEAM,grid,optional,Team members,
beauty-cosmetics,about,4,page_section,STATS,counter,recommended,Key metrics,
beauty-cosmetics,about,5,page_section,CTA,centered,required,Get started / contact,
beauty-cosmetics,blog-index,1,page_section,HERO,page-header,required,Blog title + optional category filter,
beauty-cosmetics,blog-index,2,page_section,BLOG-PREVIEW,grid,required,Blog post grid with featured post,
beauty-cosmetics,blog-index,3,page_section,NEWSLETTER,inline,optional,Subscribe for updates,
beauty-cosmetics,collection,1,page_section,HERO,page-header,required,Collection title + description + optional banner,
beauty-cosmetics,collection,2,page_section,PRODUCT-SHOWCASE,filtered-grid,required,Product grid with sort/filter,
beauty-cosmetics,collection,3,page_section,HOW-IT-WORKS,routine-banner,recommended,Build your routine CTA banner,
beauty-cosmetics,collection,4,page_section,PRODUCT-SHOWCASE,bestsellers,optional,Category bestsellers highlighted,
beauty-cosmetics,contact,1,page_section,HERO,page-header,required,Contact us + subtitle,
beauty-cosmetics,contact,2,page_section,CONTACT,split-form,required,Form + location/map/hours,
beauty-cosmetics,contact,3,page_section,FAQ,mini-accordion,optional,Common questions before contacting,
beauty-cosmetics,content-page,1,page_section,HERO,page-header,required,Page title + optional subtitle,
beauty-cosmetics,content-page,2,page_section,CONTENT,rich-text,required,HTML content body,
beauty-cosmetics,content-page,3,page_section,CTA,inline,optional,Related page or action CTA,
beauty-cosmetics,homepage,1,page_section,HERO,split-image,required,Hero product with benefit callouts,
beauty-cosmetics,homepage,2,page_section,PRODUCT-SHOWCASE,hover-cards,required,Shop by concern/category,
beauty-cosmetics,homepage,3,page_section,LOGO-BAR,static-grid,required,"Dermatologist-tested, cruelty-free badges",
beauty-cosmetics,homepage,4,page_section,HOW-IT-WORKS,numbered-steps,required,Skincare routine / application guide,
beauty-cosmetics,homepage,5,page_section,COMPARISON,table,optional,Why us vs competitors,
beauty-cosmetics,homepage,6,page_section,TESTIMONIALS,carousel,required,Before/after with customer quotes,
beauty-cosmetics,homepage,7,page_section,VIDEO,autoplay-hero,recommended,Product demo / ingredient story,
beauty-cosmetics,homepage,8,page_section,STATS,counter,recommended,Clinical results numbers,
beauty-cosmetics,homepage,9,page_section,NEWSLETTER,inline,recommended,Beauty tips + sample offer,
beauty-cosmetics,product-detail,1,page_section,PRODUCT-DETAIL,gallery-sidebar,required,Product + texture shots + swatch,
beauty-cosmetics,product-detail,2,page_section,PRODUCT-DETAIL,description-tabs,required,"Ingredients, how to use, clinical results",
beauty-cosmetics,product-detail,3,page_section,FEATURES,icon-row,required,Key benefits (3-4 icons inline),
beauty-cosmetics,product-detail,4,page_section,PRODUCT-DETAIL,subscription-upsell,recommended,Subscribe & save for consumables,
beauty-cosmetics,product-detail,5,page_section,TESTIMONIALS,mini-reviews,required,Before/after customer reviews,
beauty-cosmetics,product-detail,6,page_section,PRODUCT-SHOWCASE,routine-builder,required,Complete your routine cross-sell,
beauty-cosmetics,shared,0,cart_drawer,CART-DRAWER,slide-out,required,Side panel with upsell recommendations,
beauty-cosmetics,shared,0,footer,FOOTER,mega,required,Multi-column standard footer,
beauty-cosmetics,shared,0,navigation,NAV,mega-menu,required,Mega-menu with concern/category split,
construction-trades,about,1,page_section,HERO,page-header,required,Company name + tagline,
